Line#,PosX,PosY,PosZ
0,-0.03070524,0.3402328,-0.167407
1,0.1637338,0.2438276,-0.263568
2,0.1510333,0.3282822,-0.1293246
3,-0.1742209,0.2542045,-0.06703157
4,-0.03732233,0.3551808,0.05158141
5,0.04796802,0.2576244,-0.2586409
6,0.1691292,0.3630682,-0.05505387
7,0.1340234,0.3721698,-0.2537557
8,0.02621496,0.2545977,0.03524818
9,0.06888467,0.3279684,-0.2619579
10,0.05877703,0.3479245,0.07298177
11,-0.1615014,0.3445239,-0.06032997
12,0.1594128,0.3630774,0.04525044
13,0.1427267,0.2400159,-0.1415117
14,-0.05811691,0.3443739,-0.04281951
15,-0.1558142,0.2595502,0.02794295
16,0.04014146,0.3695748,-0.1500901
17,-0.04185847,0.2673238,-0.1748623
18,-0.05188104,0.2516298,-0.03560617
19,-0.1526708,0.2409346,-0.1306786
20,-0.1378811,0.3399263,0.0287769
21,-0.1483468,0.3552072,-0.1458651
22,0.07231852,0.243402,-0.1278055
23,-0.05475087,0.2678689,-0.2279016
24,-0.1300073,0.3331773,-0.2670464
25,0.06050128,0.3393207,-0.03175382
26,0.02537141,0.25083,-0.06136145
27,0.1445306,0.2659383,0.06720042
28,-0.06171939,0.2741376,0.04033926
29,-0.04495724,0.3554358,-0.2643781
30,0.1609483,0.2532977,-0.03377673
31,-0.1551768,0.2670243,-0.2573332
